Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
'Kyrgyz Republic',2010,45th,Warning,7.6,7.4,7.4,7.9,7.9,7.3,8.4,6.3,7.6,7.8,5.2,7.6,83.25,316.2,73.5,59.6,0.609,6.3,yes,yes
Laos,2010,40th,Warning,7.4,8.5,6.8,7.3,5.8,6.7,8.3,8.1,8.7,7.9,5.9,7.3,83.25,68,10.4,72,0.801,3.3,no,no
Latvia,2010,135th,Stable,3,4.3,4.6,6.3,6,5,5.4,4.2,3.5,4.3,4.3,4.5,83.25,157.9,4.3,72.8,0.813,8.1,no,no
Lebanon,2010,34th,Alert,8.9,8.8,9,6.1,7.2,7,7.3,6,6.8,6.8,8.9,8.1,99.7,58,3.5,63.4,0.668,10.6,no,yes
Lesotho,2010,67th,Warning,5.9,7.2,5.2,8.7,5.7,6.7,7.2,8.5,6.3,9.2,4.8,6.8,65.9,307.4,105.8,55.6,0.547,7.7,yes,yes
Liberia,2010,33rd,Alert,6.7,8.1,6.3,8,8.3,6.7,7.1,8.5,6.5,8.4,8.2,8.9,83.25,157.8,-5.7,74.5,0.838,5.3,no,no
Libya,2010,111th,Warning,5.2,7.1,5.8,5.3,6.9,4.2,7.3,4.2,8.3,5.7,4.3,4.8,83.25,111.9,3,75.9,0.86,7.5,no,no
Lithuania,2010,146th,Stable,2.2,3.2,4,5.7,6,5,3.9,3.2,3.3,4.3,2.9,4.1,83.25,60.8,2,80.9,0.936,19.7,no,no
Luxembourg,2010,168th,Sustainable,2.1,3.6,3.2,2.8,2.3,1.2,2.7,2.2,1.3,1.9,1.7,2.3,94,87.9,4.1,62.5,0.654,3.8,no,yes
Macedonia,2010,103rd,Warning,5.6,6.5,7.6,6.6,7.1,6.7,6.9,4.6,5.1,4.8,4.6,6.6,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Madagascar,2010,64th,Warning,6.4,7.7,5.4,7.2,7.7,5.3,7.1,8.6,5.8,8.6,4.8,8,83.25,103.3,23.5,73.5,0.822,0.9,yes,no
Malawi,2010,28th,Alert,5.4,7.8,6.2,9.2,8.3,8.4,8.1,8.6,7.3,9.2,6.5,8.6,95.9,99.8,18.3,75.1,0.847,22.1,no,yes
Malaysia,2010,110th,Warning,5.9,6.3,6.6,5.1,7,3.9,5.9,5,6.8,6.3,5,5.4,83.25,75.2,1.3,66.5,0.715,1.5,no,no
Maldives,2010,84th,Warning,6.1,7.4,5.2,7,5.3,7.1,7.3,7.1,7.3,6.3,6.4,5.8,92.9,77.7,12.4,69.6,0.763,4.5,no,yes
Mali,2010,78th,Warning,7,4,6.3,8.1,7,7.5,5.4,8.5,5,8.7,4.8,7,97.7,0.2,1.8,67.4,0.729,6.6,no,yes
Malta,2010,145th,Stable,4,2,4.2,4.2,4.4,4.1,4.1,3.2,3.7,3.7,5.8,4.8,91.2,108.4,2.5,75.2,0.848,7.8,no,yes
Mauritania,2010,39th,Warning,7.9,7.9,8,7.7,6.8,5.2,7.5,8.3,7.3,8.5,6.4,7.6,94.7,46,0.5,52.3,0.497,3.8,no,yes
Mauritius,2010,150th,Stable,3.7,3.3,3.5,4.1,5.7,2.6,5.1,4.2,3.7,3.7,1.2,3.6,83.25,131.5,13.7,63.5,0.67,32,no,no
Mexico,2010,96th,Warning,7.5,5.5,5.8,6.5,8,6.8,6.6,5.8,5.8,6.8,4.1,6.9,96.4,100.4,5.6,67.6,0.732,4.7,no,yes
Micronesia,2010,108th,Warning,5.1,5.5,4.5,6.4,6.8,8.1,6.6,6.6,2.8,7,3.1,8.1,58.3,71.3,13.9,80.8,0.935,0.7,no,yes
Moldova,2010,58th,Warning,7.8,8,6.9,7,6.8,7.8,7.9,6.7,6.8,6.4,4.3,7.4,83.25,43.3,1.7,80.9,0.936,23.7,no,no
Mongolia,2010,129th,Stable,4.8,5.3,4.3,5.7,5.9,2.3,6.2,5.3,6.4,5.6,1.4,6.9,83.25,97.9,3.2,72.4,0.807,3.7,no,no
Montenegro,2010,134th,Stable,4.5,5.9,6.6,4.9,4.4,2.7,4.5,3.8,5.3,4.9,4.2,5.6,98.7,68.2,5,57.3,0.574,2,no,yes
Morocco,2010,90th,Warning,5.4,6.2,6.6,6.5,7.6,6.4,7.2,6.6,6.8,6.8,6.6,4.3,79.1,106.9,2.1,50.9,0.475,4.6,no,yes
Mozambique,2010,69th,Warning,6.2,5.4,4.8,7.8,7.5,7.8,7.5,8.9,7.3,8.8,3.5,6.2,92.7,32.9,1.1,74.7,0.841,3.5,no,yes
Myanmar,2010,16th,Alert,8.2,8.2,8.7,8.2,9.3,6.3,9.6,8.5,9.1,8.5,8.3,6.5,83.25,123.9,1.5,81.2,0.941,3.6,no,no
Namibia,2010,100th,Warning,5.6,3.7,5.6,6.5,8.9,7.5,4.8,6.9,5.8,7.5,5.7,6,73.2,74.4,2,75.7,0.857,9.6,no,yes
Nepal,2010,26th,Alert,7.7,8.5,9.2,8.3,9,6.2,8.1,7.6,8.7,8.1,7,7,83.25,89.315823,0.2,71.5,0.793,0.5,no,no
Netherlands,2010,166th,Sustainable,1.1,1.7,4.7,3,3.2,1.9,1.2,1.5,1.3,2.7,3.2,2.4,83.25,78,2,72.8,0.812,7,no,no
